City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,lavrentiya,65.5833,-171.0,247.68,91,97,1.21,RU,1675818317
167,kon tum,14.35,108.0,295.98,65,35,0.51,VN,1675818319
168,adrar,20.5022,-10.0711,288.45,23,100,5.04,MR,1675818321
169,gisborne,-38.6533,178.0042,295.38,57,100,3.52,NZ,1675818324
170,dikson,73.5069,80.5464,250.14,90,100,9.58,RU,1675818328
171,muroto,33.2833,134.15,285.29,64,18,2.95,JP,1675818333
172,lata,40.1629,-8.3327,281.44,77,45,1.87,PT,1675818334
173,bud,39.447,-86.1758,283.96,73,100,2.82,US,1675818341
174,naze,28.3667,129.4833,289.66,74,100,6.51,JP,1675818341
175,namibe,-15.1961,12.1522,294.34,74,95,2.47,AO,1675818348
176,salou,41.0766,1.1416,282.73,82,75,7.2,ES,1675818350
177,aksha,50.2814,113.2867,255.14,93,44,1.54,RU,1675818350
178,baker city,44.7749,-117.8344,276.99,70,75,8.23,US,1675818350
179,westport,41.1415,-73.3579,278.46,79,100,0.45,US,1675818058
180,novouzensk,50.4592,48.1431,260.01,91,6,6.2,RU,1675818352
181,pevek,69.7008,170.3133,243.41,92,100,1.3,RU,1675818352
182,tuatapere,-46.1333,167.6833,285.66,66,81,6.51,NZ,1675818352
183,haines junction,60.7522,-137.5108,270.12,80,25,0.51,CA,1675818174
184,mayo,38.8876,-76.5119,282.15,80,0,3.6,US,1675818353
185,provideniya,64.3833,-173.3,254.21,65,100,2.0,RU,1675818353
186,deputatskiy,69.3,139.9,230.24,99,56,1.81,RU,1675818354
187,sao filipe,14.8961,-24.4956,293.38,67,17,4.16,CV,1675818354
188,beidao,34.5686,105.8933,276.27,84,100,2.01,CN,1675818354
189,boguchany,58.3814,97.4531,260.42,97,100,1.12,RU,1675818355
190,sorong,-0.8833,131.25,299.71,82,100,1.89,ID,1675818355
191,jumla,29.2747,82.1838,273.92,51,0,1.61,NP,1675818168
192,sampit,-2.5333,112.95,300.12,78,100,0.15,ID,1675818356
193,almaznyy,48.0448,40.045,263.07,87,21,7.82,RU,1675818356
194,sao joao da barra,-21.6403,-41.0511,297.2,91,100,1.95,BR,1675818185
195,esil,51.9556,66.4042,254.65,100,84,2.42,KZ,1675818356
196,kuusamo,65.9667,29.1833,269.17,93,0,1.54,FI,1675818357
197,bac lieu,9.285,105.7244,299.19,78,46,5.74,VN,1675818357
198,aranos,-24.1333,19.1167,294.31,68,90,0.47,NA,1675818357
199,skovorodino,53.9833,123.9167,248.45,89,100,1.1,RU,1675818358
200,jalu,29.0331,21.5482,282.9,57,93,3.27,LY,1675818358
201,aripuana,-9.1667,-60.6333,295.64,99,25,0.98,BR,1675818359
202,eureka,40.8021,-124.1637,287.41,76,96,2.0,US,1675818359
203,rio grande,-32.035,-52.0986,297.21,72,0,6.07,BR,1675818359
204,monte carmelo,-18.7247,-47.4986,293.72,83,100,1.1,BR,1675818249
205,wanning,18.8003,110.3967,297.0,86,18,3.32,CN,1675818360
206,tezu,27.9167,96.1667,288.43,65,99,0.69,IN,1675818360
207,cape town,-33.9258,18.4232,294.21,72,0,7.15,ZA,1675818192
208,santa ines,-3.6667,-45.38,296.2,97,100,1.53,BR,1675818294
209,beberibe,-4.1797,-38.1306,299.36,76,100,5.66,BR,1675818361
210,maua,-23.6678,-46.4614,293.35,91,81,1.61,BR,1675818361
211,machhlishahr,25.6833,82.4167,286.16,78,0,3.17,IN,1675818363
212,barrow,71.2906,-156.7887,255.16,78,100,3.6,US,1675818169
213,te anau,-45.4167,167.7167,287.43,44,48,5.09,NZ,1675818370
214,itoman,26.1247,127.6694,294.36,78,20,6.17,JP,1675818375
215,east london,-33.0153,27.9116,294.81,84,100,5.62,ZA,1675818347
216,beruwala,6.4788,79.9828,297.01,91,99,1.49,LK,1675818381
217,macusani,-14.0833,-70.4333,276.93,95,72,2.13,PE,1675818382
218,mahebourg,-20.4081,57.7,299.31,83,75,5.14,MU,1675818359
219,buraydah,26.326,43.975,282.4,42,100,2.85,SA,1675818389
220,port alfred,-33.5906,26.891,293.81,90,100,1.79,ZA,1675818238
221,xanlar,40.5869,46.3158,273.88,81,100,3.09,AZ,1675818406
222,san angelo,31.4638,-100.437,280.12,88,100,4.02,US,1675817890
223,caravelas,-17.7125,-39.2481,298.58,81,4,3.99,BR,1675818408
224,raudeberg,61.9875,5.1352,279.52,75,69,14.76,NO,1675818408
225,mahajanga,-15.7167,46.3167,298.09,82,100,3.52,MG,1675818408
226,witu,-2.3889,40.4382,298.24,93,86,2.28,KE,1675818409
227,shellbrook,53.2168,-106.4011,268.44,92,96,3.02,CA,1675818409
228,faanui,-16.4833,-151.75,300.43,73,29,5.36,PF,1675818409
